random_page_cost,arm,n,misselection_rate,regret_median,regret_max
1.0,all,36,0.19444444444444445,1.042267432668241,2.877587696900656
1.0,all_no_brin,46,0.2826086956521739,1.0804679885094393,3.1013320503954054
1.1,all,36,0.5833333333333334,1.4504685083745215,3.2608506084268107
1.1,all_no_brin,46,0.17391304347826086,1.0270041772493608,2.974872418467427
1.2,all,44,0.6590909090909091,1.5298726665443745,2.873628322070963
1.2,all_no_brin,46,0.21739130434782608,1.0341193162019149,3.0389696234251837
1.5,all,46,0.6521739130434783,1.2610761918072404,6.4976291852138575
1.5,all_no_brin,46,0.021739130434782608,1.0023501822108245,1.2951930290264875
2.0,all,46,0.6956521739130435,1.957207997761139,6.672677595628414
2.0,all_no_brin,46,0.0,1.0092905703561863,1.186892123831924
3.0,all,46,0.6521739130434783,2.0160750584433655,26.240634005763688
3.0,all_no_brin,46,0.021739130434782608,1.007840366586233,1.4195546028343455
4.0,all,46,0.8260869565217391,2.821591557470871,22.719950213371263
4.0,all_no_brin,46,0.021739130434782608,1.01367969404235,1.2245085190039318
